video_id,trending_date,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_name
2kyS6SvSYSE,11/14/2017,CaseyNeistat,22,2017-11-13T17:13:01.000Z,748374,57527,2966,15954,False,False,People & Blogs
1ZAPwfrtAFY,11/14/2017,LastWeekTonight,24,2017-11-13T07:30:00.000Z,2418783,97185,6146,12703,False,False,Entertainment
5qpjK5DgCt4,11/14/2017,Rudy Mancuso,23,2017-11-12T19:05:24.000Z,3191434,146033,5339,8181,False,False,Comedy
puqaWrEC7tY,11/14/2017,Good Mythical Morning,24,2017-11-13T11:00:04.000Z,343168,10172,666,2146,False,False,Entertainment
d380meD0W0M,11/14/2017,nigahiga,24,2017-11-12T18:01:41.000Z,2095731,132235,1989,17518,False,False,Entertainment
gHZ1Qz0KiKM,11/14/2017,iJustine,28,2017-11-13T19:07:23.000Z,119180,9763,511,1434,False,False,Science & Technology
39idVpFF7NQ,11/14/2017,Saturday Night Live,24,2017-11-12T05:37:17.000Z,2103417,15993,2445,1970,False,False,Entertainment
nc99ccSXST0,11/14/2017,CrazyRussianHacker,28,2017-11-12T21:50:37.000Z,817732,23663,778,3432,False,False,Science & Technology
jr9QtXwC9vc,11/14/2017,20th Century Fox,1,2017-11-13T14:00:23.000Z,826059,3543,119,340,False,False,Film & Animation
TUmyygCMMGA,11/14/2017,Vox,25,2017-11-13T13:45:16.000Z,256426,12654,1363,2368,False,False,News & Politics
9wRQljFNDW8,11/14/2017,NFL,17,2017-11-13T02:05:26.000Z,81377,655,25,177,False,False,Sports
VifQlJit6A0,11/14/2017,amc,24,2017-11-13T03:00:00.000Z,104578,1576,303,1279,False,False,Entertainment
5E4ZBSInqUU,11/14/2017,marshmello,10,2017-11-13T17:00:00.000Z,687582,114188,1333,8371,False,False,Music
GgVmn66oK_A,11/14/2017,NowThis World,25,2017-11-12T14:00:00.000Z,544770,7848,1171,3981,False,False,News & Politics
TaTleo4cOs8,11/14/2017,The king of DIY,15,2017-11-12T18:30:01.000Z,207532,7473,246,2120,False,False,Pets & Animals
kgaO45SyaO4,11/14/2017,BostonDynamics,28,2017-11-13T20:09:58.000Z,75752,9419,52,1230,False,False,Science & Technology
ZAQs-ctOqXQ,11/14/2017,Cracked,23,2017-11-12T17:00:05.000Z,295639,8011,638,1256,False,False,Comedy
YVfyYrEmzgM,11/14/2017,TED-Ed,27,2017-11-13T16:00:07.000Z,78044,5398,53,385,False,False,Education
eNSN6qet1kE,11/14/2017,PeterSripol,28,2017-11-13T15:30:17.000Z,97007,11963,36,2211,False,False,Science & Technology
